Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
"Omakotitalo | Tupa, keittiö, makuuhuone, kylpyhuone, sauna, parv","Lautakontie 23, Korpilahti, Jyväskylä",122 000 €,43 m²,2010
Rivitalo | 4H + K + S,"Toukokuja 1 B 14, Palokka, Jyväskylä","22 747,25 €",81 m²,2002
Kerrostalo | 2H + K + S,"Sääkslahdentie 8 A 04, Sarvivuori, Jyväskylä","8 892,3 €","60,5 m²",1993
"Kerrostalo | 2h, k, kph, s, vh, lasitettu p.","Rajakatu 31 B, Nisula, Jyväskylä",159 000 €,"63,5 m²",2000
Kerrostalo | 1h + tupakeittiö + kph + ranskalainen parveke,"Vehkakuja 4 B 39, Savela, Jyväskylä","145 951,04 €",38 m²,2018
Kerrostalo | 1h + kk + kph,"Paperitehtaankatu 10, Kangas, Jyväskylä",132 600 €,"24,5 m²",2018
Rivitalo | 3h + k + s,"Hovilantie 3, Keljo, Jyväskylä",129 000 €,73 m²,1975
Omakotitalo | 3mh + oh + k + khh + aula + kph + s + wc + tekn.tila + terassi,"Käpytie 15, Vaajakoski, Jyväskylä",265 000 €,"133,5 m²",2011
Kerrostalo | 2h + k,"Tapionkatu 20, Keskusta, Jyväskylä",115 000 €,54 m²,1954
"Kerrostalo | 2h, k, kph","Keskussairaalantie 7 A, Mattilanpelto, Jyväskylä",119 000 €,48 m²,1955
Kerrostalo | 1h + k + kh + p,"Keskikatu 18, Mäki-Matti, Jyväskylä",99 000 €,33 m²,1962
Kerrostalo | 2h + k + kph + vh,"puistokatu 33 b 16, Keskusta, Jyväskylä",145 645 €,"52,5 m²",1962
"Omakotitalo | YK: 3 mh, aula, wc; KK:oh, rt, mh, keittiö wc; AK:","Keskisentie 11, Kuokkala, Jyväskylä",295 000 €,230 m²,1954
Kerrostalo | 3h + k + vh + kph + lasp,"Tyyppäläntie 4, Lohikoski, Jyväskylä",105 000 €,"80,5 m²",1967
"Rivitalo | 3h, k, kph, s, wc, terassi","Heittomäentie 13, Jyskä, Jyväskylä",139 999 €,81 m²,1990
"Omakotitalo | 6h, k, khh, kph, s, iso yläkerran aulatila, 2wc, v","Laiduntie 5, Jyskä, Jyväskylä",199 000 €,"190,3 m²",2005
Kerrostalo | 2h + k,"Karsikkotie 5, Pupuhuhta, Jyväskylä",47 000 €,55 m²,1976
"Kerrostalo | 4h, k, s, 2 parveketta Keskusta","Kauppakatu 10, Keskusta, Jyväskylä",238 000 €,101 m²,1971
"Kerrostalo | 2h, kt, kph, lasit.p","Korteniityntie 52, Korteniitty, Jyväskylä",129 000 €,"40,5 m²",2016
"Rivitalo | 4h, k, kph, s, wc, khh, vh, ter, var","Majavankuja 11, Halssila, Jyväskylä",189 000 €,100 m²,1996
Rivitalo | 3h + k + kph + ak + s,"Halttulantie 1 A 5, Jyskä, Jyväskylä",173 000 €,75 m²,2000
"Omakotitalo | 4 mh, oh, k, rt, aula, khh, ph, s, erill.wc, kph,","Niemijärventie 68, Kuohu, Jyväskylä",205 000 €,"145,4 m²",2005
"Rivitalo | 2h, k, kph, s, parveke + autokatos","Haukkalantie 53, Haukkala, Jyväskylä",165 000 €,55 m²,2012
Rivitalo | 4h + k + kph + s,"Ylälahdentie 3, Ristonmaa, Jyväskylä",179 500 €,86 m²,1990
Kerrostalo | 2h + k + s + kph + lasp,"Koskenkuja 1 E 38, Taulumäki, Jyväskylä",139 000 €,"55,5 m²",1987
Omakotitalo | 10h,"Aarnipolku 2, Mattilanpelto, Jyväskylä",360 000 €,340 m²,1974
"Omakotitalo | 5h, th, k, 3vh, ph, s, 2wc, 2at, parv, kuisti, muut","Kallentie 2, Palokka/Piilola, Jyväskylä",295 000 €,192 m²,1973
"Omakotitalo | 3 makuuhuonetta, olohuone, keittiö, ruokailutila,","Korvenkuja 12, Tikkakoski, Jyväskylä",270 000 €,133 m²,2011
"Kerrostalo | 2h, k, s","Rajakatu 31, Nisula, Jyväskylä",152 000 €,57 m²,2000
Kerrostalo | 3H + K + S,"Palokunnankatu 5 A 30, Mäki-Matti, Jyväskylä","10 367,89 €","77,5 m²",1993
"Omakotitalo | olohuone, keittiö, kaksi makuuhuonetta, wc, saunat","Saarijärventie 25 a, Mannila, Jyväskylä",120 000 €,94 m²,1984
"Kerrostalo | 3 huonetta, keittiö, sauna, kylpyhuone, erill. wc,","Tiirantie 16 as, Halssila, Jyväskylä",230 000 €,"81,5 m²",2013
"Paritalo | oh, k, 2mh, khh, 2wc, tkh, kph, s yms","Lintukankaantie 104, Palokka, Jyväskylä",194 000 €,124 m²,1980
Kerrostalo | 1h + k + vh + p,"Valtterintie 9, Säynätsalo, Jyväskylä",29 000 €,"41,5 m²",1976
Paritalo | 2h + k + s,"Huhtasuonkatu 8, Huhtasuo, Jyväskylä",98 000 €,64 m²,1975
"Kerrostalo | 2h, kk, kh, las.p","Saihokatu 5, Köhniö, Jyväskylä",59 000 €,41 m²,1967
Kerrostalo | 2h + k + s,"Arvinkuja 14 E, Pirttimäki, Jyväskylä",162 000 €,55 m²,2015
Rivitalo | 2h + k + kph + s + varasto + piha-alue,"Ollintie 6, Palokka/Ollila, Jyväskylä",125 000 €,"65,5 m²",1990
"Kerrostalo | 1h, keittosyvennys, wc","Vesmannintie 3, Vaajakoski, Jyväskylä",32 000 €,18 m²,1938
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 2h, k, kph, vh, las.p","Jussinpolku 2, Korpilahti, Jyväskylä",28 000 €,52 m²,1970
"Rivitalo | 2h, k, s","Valimonkatu 2 as, Tikkakoski, Jyväskylä",59 000 €,56 m²,1984
Kerrostalo | 2H + KK + S,"Tourulantie 10 A 05, Tourula, Jyväskylä","16 878,12 €",45 m²,2006
"Rivitalo | 1h, kk, kph, s","Ruusalantie 2, Palokka, Jyväskylä",67 000 €,"34,5 m²",1991
"Rivitalo | 3h, k, khh, kph, s, terassi","Toukokuja 2, Palokka, Jyväskylä",187 000 €,82 m²,2005
"Omakotitalo | 5h, k, rt, s, 2 kph, vilpola, terassi yms","Päätekuja 7, Ylistönmäki, Jyväskylä",469 000 €,223 m²,2004
"Kerrostalo | 2h, k, kph, p","Tyyppäläntie 9, Lohikoski, Jyväskylä",73 000 €,57 m²,1974
"Omakotitalo | 4h, k, kph","Kulmatie 9, Lehtisaari, Jyväskylä",75 000 €,94 m²,1950
Kerrostalo | 3h + k + s,"Rytmikuja 3 as 3, Ainolanranta, Jyväskylä",21 205 €,"73,5 m²",1998
Omakotitalo | 4mh + th + k + khh + kph + s + wc + at,"Oskarinkatu 42, Tikkakoski, Jyväskylä",172 000 €,142 m²,1989
Kerrostalo | 3h + k,"Urheilutie 10, Kotimäki, Jyväskylä",79 000 €,74 m²,1972
"Kerrostalo | 3h, k, s, kph, wc, las.p.","Satamakatu 25, Lutakko, Jyväskylä",245 000 €,68 m²,2008
Kerrostalo | 2H + K + S,"Palokunnankatu 5 A 13, Mäki-Matti, Jyväskylä","8 498,48 €","61,5 m²",1993
"Rivitalo | 4h + k + takkah., + s + ph + pukuh., + vh + khh","Loukkukatu 43, Köhniö, Kypärämäki Jyväskylä",162 000 €,137 m²,1975
Kerrostalo | 4h + k + s + ph + wc,"Kauppakatu 23, Jyväskylä, Jyväskylä",348 000 €,113 m²,1933
"Kerrostalo | 3h, k, kph, p","Tellervonkatu 21 C, Keskusta, Jyväskylä",177 000 €,"71,5 m²",1956
Rivitalo | 3H + K + S,"Toukokuja 5 C 12, Palokka, Jyväskylä","21 966,59 €",75 m²,2001
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Rivitalo | 3h, k, vh, kph, s, erillinen wc, terassipiha","Lummetie 1-3, Heinälampi, Jyväskylä",146 000 €,81 m²,1982
"Rivitalo | 4h, k, s, kh, vhx2, työ- / askartelutila + p","Kiertotie 14, Ritoniemi, Palokka Jyväskylä",229 000 €,150 m²,1973
"Rivitalo | 4h, k, s","Ritoharjuntie 14-16, Palokka, Jyväskylä",164 000 €,"97,5 m²",1983
"Omakotitalo | 4mh, oh, k, kph, s, khh, 2xwc, aula","Rinnepolku 74, Korpilahti,, Kärkinen Jyväskylä",339 000 €,174 m²,2008
Luhtitalo | 2H + K + S,"HAUKKAMÄENTIE 4, Haukkamäki, Jyväskylä","14 673,4 €","53,5 m²",1997
"Kerrostalo | 2h, k, s","Usvattarentie 39 A, Mustalampi, Jyväskylä",107 500 €,"50,5 m²",2003
"Omakotitalo | 5h, k, s, 2xwc, kph, khh, s, autotalli, autokatos","Kivilammenkuja 8, Vaajakoski, Jyväskylä",357 000 €,163 m²,2005
"Rivitalo | 3h, keittiö, khh, kph, sauna, erill. wc, terassi","Hakakatu 2 A, Tikkakoski, Jyväskylä",129 000 €,75 m²,2005
Kerrostalo | 2H + KK + S,"Vapaudenkatu 64 A 24, Veturitalli, Jyväskylä","19 799,37 €",48 m²,2003
Kerrostalo | 5h + kt + s,"Pölkintie 3 ja 5, Palokka, Jyväskylä","36 329,78 €","97,5 m²",2016
Kerrostalo | 2h + kt + s,"Norkkokatu 2, Keljonkangas, Jyväskylä","18 449,33 €","43,5 m²",2019
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + kph + p,"Halmekatu 20 E H, Seppälä,, Kangasvuori Jyväskylä",93 000 €,57 m²,1966
"Kerrostalo | 2h, k, kph, lasitettu parveke","Survosenahde 9, Jyskä, Jyväskylä",51 000 €,57 m²,1971
Kerrostalo | 2h + k + s,"Valajankatu 6, Rautpohja, Jyväskylä","19 692,15 €",53 m²,2010
"Kerrostalo | 1h, tpk, alkovi, kph, s, p","Suuruspääntie 12 B, Suuruspää, Jyväskylä",113 000 €,"40,5 m²",1994
"Kerrostalo | 2h, k, kph, lasitettu p","Pappilanrinne 1 E, Palokka, Jyväskylä",67 000 €,53 m²,1978
-1,-1,-1,-1,-1
Paritalo | 4h + k + s + khh + autotalli,"Havukkatie 14, Puuppola, Jyväskylä",258 000 €,"90,5 m²",2015
"Kerrostalo | 3h, k, kh / s, lasitettu parv.","Tuulimyllyntie 12 as., Myllyjärvi, Jyväskylä",95 000 €,61 m²,1987
Kerrostalo | 3h + k + p,"Kortesuonkatu 3 A 8, Mäki-Matti, Jyväskylä",150 000 €,69 m²,1965
Kerrostalo | 2h + kk + s,"Liinaharjankatu 7, Mankola, Jyväskylä","20 336,22 €",55 m²,2010
"Rivitalo | 3h, keittiö, khh, kph, sauna, erill. wc, vh, var","Lepikkohaka 1, Keljonkangas, Jyväskylä",184 000 €,83 m²,2004
"Kerrostalo | 2h, kk, kph","Mattilankatu 40, Mattilanpelto, Jyväskylä",85 000 €,46 m²,1961
Rivitalo | 4h + k + vh + kph + s + wc + khh + var + ak,"Huhtalahdentie 6 b 5, Nenäinniemi, Jyväskylä",239 000 €,110 m²,2004
"Rivitalo | 3h, keittiö, kph, sauna, erill. wc, var","Vasikkahaka 3, Kaijanlampi, Jyväskylä",185 000 €,73 m²,2008
Kerrostalo | 1h,"Vaajakoskentie 1-5, Tuohimutka, Jyväskylä",79 000 €,30 m²,1970
"Rivitalo | 2h, k, s","Runoilijantie 5, Palokka, Jyväskylä",115 000 €,57 m²,1989
"Omakotitalo | 4mh, oh / tk, khh, ph, s","Kraatarintie 6, Tikkakoski, Jyväskylä",225 000 €,"119,5 m²",2017
"Omakotitalo | 3mh, oh, tkh, kh, s","Tähtäin 35, Kortemäki, Jyväskylä",188 000 €,110 m²,1973
Omakotitalo | 5h + k + kph + wc + kh + s,"Huugontie 13, Säynätsalo, Jyväskylä",142 500 €,115 m²,1981
Kerrostalo | 3H + K + S,"Jenkkakuja 2 A 04, Kekkola, Jyväskylä",19 998 €,"80,5 m²",1995
Luhtitalo | 4H + K + S,"Jyväsentie 2 as 08, Ristonmaa, Jyväskylä","22 018,52 €","94,5 m²",1995
"Kerrostalo | 1h, kk, p","Haavikatu 1-3, Lohikoski, Jyväskylä",98 500 €,"27,5 m²",1970
"Kerrostalo | 2h, k, kp","Kansakoulukatu 8, Keskusta, Jyväskylä",156 000 €,63 m²,1960
Kerrostalo | 2h + k + kh,"Vaajakoskentie 127 A, Vaajakoski, Jyväskylä",87 500 €,"65,5 m²",1954
"Omakotitalo | 6h, k, rt, khh, kh, s, wc, terassit","Sorvaajantie 18, Säynätsalo, Jyväskylä",425 000 €,190 m²,2010
Kerrostalo | 1H + KK + S,"PELTONIEMENTIE 6, Kuokkala, Jyväskylä","14 268,71 €",36 m²,2003
"Kerrostalo | 4h, k, kph, las.p","Ahdinkatu 12, Mäki-Matti, Jyväskylä",175 000 €,87 m²,1969
"Kerrostalo | 2h, k, kph","Yliopistonkatu 34, Keskusta, Jyväskylä",159 000 €,"52,5 m²",1938
"Kerrostalo | 2h, k, s","Kekkolantie 23, Kekkola, Jyväskylä",115 000 €,45 m²,2001
"Rivitalo | 3h, k, s, terassi","Varvikkotie 4, Keljonkangas, Jyväskylä",135 000 €,76 m²,1989
"Rivitalo | 3h, k, s, vh, terassi, parveke","Ketunleipä 9, Ristikivi, Jyväskylä",139 000 €,"80,5 m²",1986
"Omakotitalo | 3mh, oh, k, s, ph, 2 vh","Sienikorintie 31, Pysäkkivuori, Jyväskylä",358 000 €,115 m²,2011
Omakotitalo,"Linkkikatu 9, Ylämyllyjärvi, Jyväskylä",378 000 €,225 m²,2005
"Kerrostalo | 1h, kk, alk","Kelokatu 2, Rasinrinne, Jyväskylä",110 000 €,"30,5 m²",2010
"Rivitalo | 5h, k, s","Keljonkatu 11, Kukkumäki, Jyväskylä",252 928 €,122 m²,1975
"Paritalo | 3h, k, kh, s, khh, 2 wc, ak, var","Sienikorintie 14 A, Pysäkkivuori, Jyväskylä",237 000 €,80 m²,2017
"Kerrostalo | 2h, kk, kh, parv.","Eeronkatu 3-5, Nisula, Jyväskylä",119 000 €,49 m²,1963
"Rivitalo | 2-3h, k, kh, s, viherhuone","Iltarannantie 7, Ainola, Jyväskylä",219 000 €,73 m²,2005
Kerrostalo | 1 h + k + pesuhuone,"Keskustie 24, Keskusta, Jyväskylä",100 000 €,"33,5 m²",1961
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + kph,"Yliopistonkatu 4 b 46, Keskusta, Jyväskylä",180 000 €,69 m²,1960
Omakotitalo | 5h + k + s + kph,"Patajärventie 42, Tikkala, Jyväskylä",267 000 €,143 m²,2008
Kerrostalo | 2h + kk + kph + lasit.p,"Sammonkatu 8 A, Keskusta, Jyväskylä",139 000 €,"40,5 m²",1973
Kerrostalo | 3h + k + kh + wc + vh + p,"Taitoniekantie 11 D, Kortepohja, Jyväskylä",85 000 €,73 m²,1972
"Kerrostalo | 1 huone, tupakeittiö, kylpyhuone, parvi","Vaasankatu 2 A, Keskusta, Jyväskylä",130 000 €,27 m²,2018
"Kerrostalo | 2h, keittiö, kph, parveke","Vaajakoskentie 1-5, Aholaita, Jyväskylä",69 000 €,52 m²,1969
"Rivitalo | 5 h, k, rt, ph / khh, s, kph, erill. wc, var, p, ak","Naattiantie 60, Nenäinniemi, Jyväskylä",257 000 €,"122,3 m²",2003
Kerrostalo | 2h + tupak + kh + rp,"Hämeenkatu 5, Keskusta, Jyväskylä",151 000 €,41 m²,2018
"Kerrostalo | 3h, k, kph, s, vh, p","Harjukatu 4, Keskusta, Jyväskylä",269 000 €,"73,5 m²",2005
Omakotitalo | 3h + k + 2wc + ph + s,"Lähteeläntie 11, Jyskä, Jyväskylä",135 000 €,-1,1950
Rivitalo | 4h + k + takkah + s + kh + wc + p + ter,"Emännäntie 23 D, Kortepohja, Jyväskylä",149 000 €,"90,5 m²",1968
Kerrostalo | 3H + K + S,"Sääkslahdentie 6 A 10, Sarvivuori, Jyväskylä","10 039,34 €","70,5 m²",1993
"Kerrostalo | 3h, k, kh, s, wc, lasit.p","Siltakatu 15, Suuruspää, Jyväskylä",165 000 €,71 m²,2000
Kerrostalo | 3h + k + kph + las.p,"Jussinpolku 4, Korpilahti, Jyväskylä",47 000 €,74 m²,1973
"Kerrostalo | 1h, kk, kph, las.p","Myllylammenkatu 5, Tikkakoski, Jyväskylä",29 000 €,30 m²,1974
"Kerrostalo | 3h, k, kh, vh, lasit.p.","Runkotie 4 C, Aittorinne, Jyväskylä",109 000 €,"72,5 m²",1972
"Omakotitalo | 4h, k, khh, kph, s, vh, 2xwc, 2xterassi","Naavapolku 9, Korpilahti, Jyväskylä",229 000 €,120 m²,1989
"Omakotitalo | 5h, k, khh, ph, s, vh","Koskenpääntie 15, Oravasaari, Jyväskylä",279 000 €,"171,8 m²",2007
"Kerrostalo | 3h, k, s","Karsikkotie 7 A, Pupuhuhta, Jyväskylä",69 000 €,76 m²,1980
Kerrostalo | 3h + k,"Vadelmakuja 2 A, Kangaslampi, Jyväskylä",72 000 €,69 m²,1984
"Paritalo | 4h, k, khh, kph, s, 2xwc, autokatos","Kotaniemenkuja 11A, Kaunisharju,, Vaajakoski Jyväskylä",269 000 €,104 m²,2018
"Kerrostalo | 2 huonetta, keittiö, kylpyhuone, parveke","Viitaniementie 10 B, Viitaniemi, Jyväskylä",119 000 €,51 m²,1961
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 2h, k, kph, vh, lasitettu parveke","Kaakonsiipi 8, Sulku, Jyväskylä",39 000 €,"52,5 m²",1978
Kerrostalo | 2h + k + kph + s + las.p + var,"Väliaitankatu 12, Aittorinne, Jyväskylä","91 228,11 €",56 m²,1970
Kerrostalo | 1h + kk + kph + s + wc + lasp + var,"Kivääritehtaankatu 5 a 20, Tourula, Jyväskylä",137 000 €,36 m²,2003
Kerrostalo | 1h + kk + p,"Kauppakatu 4, Keskusta/Yläkaupunki, Jyväskylä",107 000 €,26 m²,1962
"Kerrostalo | 2h, kt, vh, kph, (s), las. parv.","Kelokatu 3, Seppälä, Jyväskylä",169 000 €,"57,5 m²",2011
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kph, p","Valajankatu 1, Rautpohja, Jyväskylä",142 000 €,68 m²,1949
Kerrostalo | 2h + Kts + S,"Survontie 15, Ainola, Jyväskylä",211 700 €,"50,5 m²",2019
Kerrostalo | 2H + KK + S,"Kangasvuorentie 26 B 37, Huhtasuo, Jyväskylä","16 430,43 €",51 m²,2002
"Rivitalo | 2h, keittiö, sauna, terassi, Autokatos","Tervaruukinkatu 5 as, Tikkakoski, Jyväskylä",64 900 €,60 m²,1978
"Kerrostalo | 2h, keittiö, vaatehuone, kph","Vaasankatu 4 B, Keskusta, Jyväskylä",144 000 €,"54,9 m²",1951
"Kerrostalo | 2h, kk","Kirkkotie 8 A, Vaajakoski, Jyväskylä",53 000 €,49 m²,1990
"Kerrostalo | 2h, kt","Rajakatu 26 B, Taulumäki, Jyväskylä",129 000 €,"52,5 m²",1947
-1,-1,-1,-1,-1
Kerrostalo | 3H + K + S,"Patteritie 2 A 20, Ainola, Jyväskylä","10 544,54 €","71,5 m²",1993
"Paritalo | 4h, k, s, ph, erill.wc, vh","Väinöntie 7 as 1, Ritoniemi, Jyväskylä",139 000 €,100 m²,-
"Kerrostalo | 3 huonetta, keittiö, kylpyhuone, sauna, lasit. par","Kangasvuorentie 4b, Kangasvuori, Jyväskylä",159 000 €,"69,5 m²",2006
"Kerrostalo | 2h, kk, kh","Runkotie 10, Aittorinne, Jyväskylä",65 000 €,"47,5 m²",1978
"Omakotitalo | 3h, k, kph, s","Haukanmaantie 181, Oravasaari, Jyväskylä",179 000 €,"78,5 m²",1972
"Kerrostalo | 4h, k, kph, las.p","Puistotori 2, Keskusta, Jyväskylä",179 000 €,75 m²,1971
Kerrostalo | 2h + k + kh + vh + p,"Tavintie 3 B, Kivistö, Jyväskylä",87 000 €,55 m²,1975
Kerrostalo | 2k + k,"Pieles 4 C, Pupuhuhta, Jyväskylä",39 000 €,60 m²,1977
"Omakotitalo | Oh, k, rt, 3 mh, työh. askarteluh, oleskeluaula kh,","Kortesuonkatu 28, Mäki-Matti, Jyväskylä",399 000 €,331 m²,1978
-1,-1,-1,-1,-1
"Kerrostalo | 4h, k, s, parv","Kolmospesänkatu 2 C, Kuokkala, Jyväskylä",119 000 €,93 m²,1989
Kerrostalo | 2h + k + kh + vh + lasitettu parveke,"Puistokatu 27, Puistola, Jyväskylä",115 000 €,49 m²,1961
Kerrostalo | 2h + tupak + kph + s + wc + + lasp + var,"Kekkolantie 25, Kekkola, Jyväskylä",98 000 €,45 m²,1992
Rivitalo | 2h + k + vh + kph + s + p + var + ak,"Aarnipolku 6, Mattilanpelto, Jyväskylä",149 000 €,"55,5 m²",1990
Kerrostalo | 2H + KK + S,"Jenkkakuja 2 A 07, Kekkola, Jyväskylä","14 749,94 €","55,5 m²",1995
Kerrostalo | 1h + kk + kph,"Karsikkotie 5, Pupuhuhta, Jyväskylä",52 500 €,32 m²,1977
Kerrostalo | 1h + kt + kph + las.p,"Korkeakoskentie 27, Keljo, Jyväskylä",107 000 €,"21,5 m²",2018
Kerrostalo | 3h + k + wc + parveke,"Halmekatu 20, Seppälä, Jyväskylä",89 000 €,71 m²,1966
"Kerrostalo | 4h, k, s, wc, parveke","Liinaharjankatu 5, Mannila, Jyväskylä",249 500 €,"103,5 m²",2012
"Rivitalo | 3h, k, s","Martikaisentie 12, Palokka, Jyväskylä",132 000 €,69 m²,1988
Kerrostalo | 3h + k + kph + s + lasitettu parveke,"Tuulimyllyntie 8, Myllyjärvi, Jyväskylä",107 000 €,71 m²,1988
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Omakotitalo | 5h + k + var + s + wc + khh,"Metsämiehenpolku 3, Palokka, Jyväskylä",187 000 €,119 m²,1978
"Rivitalo | 2h, k, s, kph, wc, ter, var","Pappilantie 8, Säynätsalo, Jyväskylä",98 000 €,"61,5 m²",1989
"Kerrostalo | 3h, k, kph, p","Tyyppäläntie 13, Lohikoski, Jyväskylä",95 000 €,77 m²,1969
"Omakotitalo | 4mh, oh, k, tkh, kph, s, 2wc, 2vh, varasto, at","Piilukko 17, Kortemäki, Jyväskylä",139 000 €,118 m²,1971
Kerrostalo | 2h + kk + kph + lasitettu parveke,"Puistokatu 1, keskusta, Jyväskylä",124 000 €,40 m²,1960
"Omakotitalo | 4h, k, et, tk, khh, s, kh, wc, parv. autokatos / var","Metsäpyyntie 9, Muuratsalo, Jyväskylä",210 000 €,127 m²,1986
"Erillistalo | 4h, k, s, kph, khh, 2wc, ter, var, ak","Lounatuulentie 14, Sarvivuori, Jyväskylä",235 000 €,106 m²,2014
"Kerrostalo | 3h, k, kh / wc, vh, p","Cygnaeuksenkatu 3, Keskusta, Jyväskylä",174 500 €,73 m²,1967
"Kerrostalo | 5h, k, kh, s, 2 wc, parveke","Palokunnankatu 10, Mäki-Matti, Jyväskylä",238 000 €,"104,5 m²",1993
"Kerrostalo | 3h, k, kh, s, p","Tykkikalliontie 2, Ainola, Jyväskylä",218 000 €,81 m²,2005
"Kerrostalo | 2h, kt, kh","Satamakatu 15, Lutakko, Jyväskylä",189 000 €,39 m²,2018
"Omakotitalo | 5h, k, aula, khh, vh, uima-allasosasto, s, 2xwc, var","Valimontie 9, Keljo, Jyväskylä",279 000 €,288 m²,1976
"Kerrostalo | 4h, kt, kph, s, erill.wc, vh, p","Lehtorannantie 15 C, Ainolanranta, Jyväskylä",299 000 €,94 m²,1998
Kerrostalo | 1h + k + kph,"Korteniityntie 52, Korteniitty, Jyväskylä",96 000 €,"26,5 m²",2016
"Rivitalo | 2 (-3)h, k, kph / wc, sauna, terassi","Haapasaarentie 14 A, Vaajakoski, / Haapasaari Jyväskylä",137 000 €,52 m²,2007
Rivitalo | Oh + 2mh + vh + keittiö + kph + sauna + erillinen wc + varasto + t,"Revontulentie 3-5, Korpilahti, Jyväskylä",117 000 €,80 m²,1985
"Kerrostalo | 1h, kk, ph, et","Kiljanderinkatu 7 B, Mattila, Jyväskylä",88 000 €,34 m²,1957
Kerrostalo | 1H + KK + S,"AINOLANKAARI 3, Kuokkala, Jyväskylä","13 920,02 €","38,5 m²",1998
"Paritalo | 5h, k, kph, s","Lehtikuusentie 85b, Vaajakoski, Jyväskylä",159 000 €,135 m²,1979
"Omakotitalo | 2h, tupa, s, kph / wc, vh, kuisti, vintti","Sirkkalantie 24, Vitikkala, Jyväskylä",94 000 €,60 m²,1939
"Kerrostalo | 3h, k, s","Schaumanin Puistotie 22, Lutakko, Jyväskylä",229 000 €,"65,5 m²",2013
Kerrostalo | 3h + kk + kh + s + vh + p,"Ryytipolku 6 A, Kuokkalanpelto, Jyväskylä",178 000 €,67 m²,2015
Kerrostalo | Oh + 4mh + k + s + kh + wc + vh + khh + p,"Lyhdekatu 2 A, Kortesuo, Jyväskylä",219 000 €,106 m²,2000
Kerrostalo | Vuonna 1954 rakennettu pappila + asemakaavan mukai,"Valanteentie 1, Korpilahti, Jyväskylä",30 000 €,-1,1954
"Kerrostalo | 2h, kk, kph, lasitettu parveke","Valtterintie 1, Säynätsalo, Jyväskylä",45 000 €,52 m²,1973
Luhtitalo | 2h + k + kph + s + vh + las.parv,"Anttoninkatu 22 C 26, Paloniemi,, Lohikoski Jyväskylä",124 000 €,"55,5 m²",1986
"Kerrostalo | 3h, k, kh, wc, p","Tavintie 3, Jyväskylä, / Aholaita Jyväskylä",95 000 €,76 m²,1973
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Omakotitalo | 7 mh, oh, k, rt, askarteluh, pkh / khh, ph, s, erill","Koppalankaari 60, Palokka/Terttumäki, Jyväskylä",395 000 €,200 m²,1948
Kerrostalo | 2h + k + kph + s + lasitettu parveke,"Piipputori 1, Kangas, Jyväskylä",225 000 €,"54,5 m²",2017
"Kerrostalo | 2h, k","Rajakatu 20, Keskusta, Jyväskylä",99 000 €,"52,5 m²",1961
"Rivitalo | 4h, k, s, khh, pesuh, kylpyh, askarteluh","Sekametsä 25, Mannisenmäki, Jyväskylä",318 000 €,"117,5 m²",2018
Kerrostalo | 3h + k + kph + vh + las.p,"Eemelintie 1-3, Haapaniemi, Jyväskylä",39 000 €,74 m²,1977
-1,-1,-1,-1,-1
