Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
Kerrostalo | 1h + kk + kh + s + alk + lasit.p,"Koskenharjuntie 1, Taulumäki, Jyväskylä",99 500 €,"35,5 m²",1990
Paritalo | 3mh + oh + k + kph / s + WC + vh + autotalli,"Korppumäenkuja 7, PALOKKA, Jyväskylä",135 000 €,110 m²,1976
"Omakotitalo | 4h, k, khh, s, ph, ym","Avainkuja 4, Sääksvuori, Jyväskylä",249 000 €,106 m²,2004
Rivitalo | Oh + 4mh + k + s + kh + 2wc + khh + var,"Ristonmäenkuja 3 C, Haapaniemi, Jyväskylä",321 000 €,"138,5 m²",2004
Kerrostalo | 2H + KK + S,"Vapaudenkatu 64 A 18, Veturitalli, Jyväskylä","19 170,71 €",48 m²,2003
"Omakotitalo | 4h, k, s, pkh, 2kph, vh, var + tupak, mh, s, kph,","Orapihlajantie 3, Savonmäki, Jyväskylä",142 000 €,"155,3 m²",1970
Kerrostalo | 3 h + k + p,"Puistokatu 14 A 20, keskusta, Jyväskylä","144 549,66 €",60 m²,1961
"Omakotitalo | 5-6 huonetta, keittiö, khh, 2*kph, erill. wc, saun","Linkkikatu 10, Ylämyllyjärvi, Jyväskylä",249 000 €,156 m²,1998
"Rivitalo | 3-4mh, oh, k, s, kh, khh, p","Tahvosentie 16 B 6, Äijälä, Jyväskylä",389 500 €,124 m²,2020
Kerrostalo | 3h + avok + kph + s + las.parv,"Tanhukaari 7 A5, Kekkola,, Kuokkala Jyväskylä",185 000 €,"62,5 m²",2014
Rivitalo | 4h + k + s,"Ahde 4 T, Kekkola, Jyväskylä",177 000 €,93 m²,1985
Rivitalo | 2H + KK + S,"Toukokuja 1 A 01, Palokka, Jyväskylä","13 749,4 €","42,5 m²",2002
Omakotitalo | 5h + k + s + kph / s,"Nousutie 5, Vaajakoski, Jyväskylä",192 000 €,115 m²,1977
"Rivitalo | 3h, k, s","Mesikämmen 9 J, Halssila, Jyväskylä",87 000 €,87 m²,1978
"Kerrostalo | 3h, k, ph, las.p","Gummeruksenkatu 11 B, Keskusta, Jyväskylä",174 000 €,"66,5 m²",1961
Kerrostalo | 3h + k + s,"Siltakatu 15 B, Suuruspää, Jyväskylä",159 000 €,71 m²,2000
Omakotitalo | 4h + k + khh + kph + s + var + at,"Yläpaula 2, Lohikoski, Jyväskylä",199 000 €,136 m²,1980
"Kerrostalo | 3h, k, kph, vh, p","Hannikaisenkatu 25, Keskusta, Jyväskylä",168 000 €,72 m²,1959
"Rivitalo | 3-4 h, keittiö, kph, sauna, parveke","Kiviniementie 6 C, Haukkalanranta, Jyväskylä",215 000 €,"93,5 m²",2008
Rivitalo | 3H + K + S,"Sääkslahdentie 6 C 22, Sarvivuori, Jyväskylä","11 168,34 €","81,5 m²",1993
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + s,"Norkkokatu 2, Keljonkangas, Jyväskylä","20 069,48 €","47,5 m²",2019
Kerrostalo | 1h + kk + s,"Ykköspesänkatu 6, Kuokkala, Jyväskylä",68 000 €,"37,5 m²",1989
"Rivitalo | 3-4h, k, khh, 2wc, sauna, lämmin varasto, lasiparveke","Lumikonkuja, Halssila, Jyväskylä",309 000 €,97 m²,2018
Omakotitalo | 3h + k + kph + sauna + vintti,"Reiviläntie 101, korpilahti, Jyväskylä",145 000 €,143 m²,1947
"Omakotitalo | 4h, k, s, autotalli, autokatos Halssila","Peuranpolvi 4, Halssila, Jyväskylä",160 000 €,116 m²,1966
"Rivitalo | 2h, k, kph","Mesikämmen 15, Halssila, Jyväskylä",98 000 €,"54,5 m²",1979
"Omakotitalo | AK: 2h, k, wc, YK: 2h, k, wc, p, kell: s, pkh, 2ke","Huikkolantie 6, Sulunperä, Jyväskylä",160 000 €,97 m²,1961
Paritalo | 2 h + k + khh + wc + kph + s + ullakko,"Teivaisentie 4, Jyskä, Jyväskylä",124 000 €,71 m²,1947
Rivitalo | 3h + k + khh + s,"Anttoninkatu 24, Lohikoski, Jyväskylä",157 000 €,"78,5 m²",1983
Rivitalo | 3h + k + kph + s + wc + p + var,"Pärnäsentie 15 A 5, Palokka, Jyväskylä",179 990 €,79 m²,2000
"Omakotitalo | 5h, k, s, kph, khh, wc, ter","Kovasentie 15, Kaunisharju, Jyväskylä",119 000 €,"120,5 m²",1998
"Omakotitalo | 5h + k + s + ph + th + wcx2, vh","Tähtäin 12, Kortemäki, Jyväskylä",165 000 €,115 m²,1972
Kerrostalo | 1h + kk + kph,"Puistokatu 17 A 19, Puistola, Jyväskylä",98 000 €,28 m²,1956
"Kerrostalo | 2h, k, kph","Kauppakatu 9, Keskusta, Jyväskylä",129 000 €,41 m²,1967
"Kerrostalo | 2h, k, s","Uno Savolankatu 13, Lutakko, Jyväskylä",215 500 €,"44,5 m²",2018
Rivitalo | 4h + k + s,"Äijäläntie 10, Väinölä, Jyväskylä","28 166,73 €","93,5 m²",2005
Paritalo | 2mh + tk + kh + s + terassi,"Vanhatie 20 A as 1, Keljonkangas, Jyväskylä",165 000 €,65 m²,2011
"Rivitalo | 4h, k, kh, s, wc, lasit.terassi","Kolikkotie 32, Holsti, Jyväskylä",219 000 €,98 m²,2001
"Rivitalo | 5h, k, s, kph, pkh, khh, 2wc, vh, var, 2ter, p, at","Sievisenmäentie 12, Jyskä, Jyväskylä",265 000 €,161 m²,1990
"Omakotitalo | 4 mh, tupakeittiö, khh, ph, sauna, 2 wc, vh, varas","Hellakatu 3, Sääksvuori, Jyväskylä",282 000 €,"107,5 m²",2020
Kerrostalo | 3h + k + s + p,"Vapaudenkatu 38 B, Keskusta, Jyväskylä",265 000 €,98 m²,1968
